,id,name,host_response_time,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
4,25002,Beautiful Private  Spot in North Ballard,within an hour,100%,2.0,Ballard,47.67947,-122.37196,Entire guest suite,Entire home/apt,4,1.0,1.0,2.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Mini fridge"", ""Bathtub"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Central air conditioning"", ""HDTV with Netflix, HBO Max, standard cable, Roku, Amazon Prime Video"", ""Washer"", ""Iron"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Smart lock"", ""Shower gel"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Drying rack for clothing"", ""Private patio or balcony"", ""Microwave"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""Children\u2019s books and toys"", ""Extra pillows and blankets""]",$88.00,2,30,3,1139,22440.0,4.93,4.92,4.91,4.98,4.98,4.9,4.9,6.06
5,26795,Lake Union Cottage - Shore and City View,within a few hours,0%,1.0,Cascade,47.63941,-122.32897,Entire cottage,Entire home/apt,3,1.0,2.0,3.0,"[""Baking sheet"", ""Freezer"", ""Dishes and silverware"", ""TV"", ""Room-darkening shades"", ""Indoor fireplace"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Iron"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Waterfront"", ""Lake access"", ""Exterior security cameras on property"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee maker: pour-over coffee"", ""Piano"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Backyard"", ""Oven"", ""Heating"", ""Essentials"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$154.00,30,730,29,64,0.0,4.54,4.72,4.57,4.46,4.58,4.83,4.36,0.35
9,215882,Relaxing Garden Cottage w/ Parking!,within an hour,100%,1.0,Rainier Valley,47.56173,-122.28351,Entire bungalow,Entire home/apt,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Outdoor furniture"", ""Room-darkening shades"", ""Outdoor dining area"", ""Wifi"", ""Private entrance"", ""Ceiling fan"", ""Hangers"", ""Patio or balcony"", ""Indoor fireplace: gas"", ""Cleaning products"", ""Iron"", ""Dining table"", ""AC - split type ductless system"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""Smart lock"", ""Best  conditioner"", ""BBQ grill"", ""Shower gel"", ""Shampoo"", ""Single level home"", ""Hair dryer"", ""Best body soap"", ""Heating - split type ductless system"", ""Hot water"", ""Exercise equipment: yoga mat"", ""Smoke alarm"", ""Bed linens"", ""Outdoor shower"", ""Fire extinguisher"", ""Park view"", ""Coffee"", ""24 inch TV with Hulu, Netflix, DVD player"", ""Private backyard"", ""Garden view"", ""Microwave"", ""Refrigerator"", ""Coffee maker: Keurig coffee machine"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$111.00,2,7,0,419,0.0,4.89,4.92,4.98,4.93,4.97,4.75,4.79,2.48
11,226536,Serene Room in Sunny Cottage near Discovery Park,within an hour,91%,2.0,Magnolia,47.66133,-122.40088,Private room in cottage,Private room,2,1.0,1.0,1.0,"[""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Beach access"", ""Outdoor furniture"", ""Outdoor dining area"", ""Wifi"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Backyard - Fully fenced"", ""Lockbox"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Microwave"", ""Refrigerator"", ""Heating"", ""Conditioner"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$74.00,1,21,5,417,17760.0,4.83,4.77,4.79,4.94,4.96,4.89,4.81,2.47
13,229990,Alki Beach 1/2 block to beach,within a day,82%,2.0,West Seattle,47.57884,-122.41071,Entire home,Entire home/apt,8,3.0,2.0,4.0,"[""Free parking on premises"", ""Dedicated workspace"", ""Dishes and silverware"", ""Beach access"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Crib"", ""Patio or balcony"", ""TV with standard cable"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Host greets you"", ""Fire extinguisher"", ""Refrigerator"", ""Backyard"", ""Heating"", ""Essentials"", ""Free street parking""]",$158.00,3,28,12,39,10428.0,4.87,4.85,4.85,4.97,4.95,4.97,4.79,0.44
14,241016,Scandinavian Queen Anne Home,within an hour,73%,5.0,Queen Anne,47.6411,-122.37446,Entire home,Entire home/apt,4,1.0,3.0,3.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""BBQ grill: charcoal"", ""TV"", ""Outdoor furniture"", ""Room-darkening shades"", ""Bathtub"", ""Indoor fireplace"", ""Coffee maker: french press"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Stove"", ""Cleaning products"", ""Washer"", ""Iron"", ""Dining table"", ""Body soap"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Air conditioning"", ""Shower gel"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Lockbox"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Coffee"", ""Drying rack for clothing"", ""Blender"", ""Private patio or balcony"", ""Private backyard"", ""Dishwasher"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Clothing storage: closet"", ""Heating"", ""Fire pit"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""Barbecue utensils"", ""Extra pillows and blankets""]",$280.00,3,28,6,171,28560.0,4.78,4.84,4.8,4.92,4.89,4.71,4.73,1.19
16,260613,Charming Hideaway in North Ballard,within an hour,91%,3.0,Ballard,47.687,-122.36697,Entire guest suite,Entire home/apt,2,1.0,1.0,2.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hammock"", ""Hangers"", ""Stove"", ""TV with standard cable"", ""Washer"", ""Iron"", ""Body soap"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Cleaning available during stay"", ""Exterior security cameras on property"", ""Shampoo"", ""Single level home"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Fire pit"", ""Essentials"", ""Free street parking"", ""Extra pillows and blankets""]",$119.00,2,365,14,130,2142.0,4.91,4.91,5.0,4.88,4.95,4.86,4.77,0.79
17,284087,The Nest in the Heart of the City,within an hour,100%,3.0,Downtown,47.6121,-122.33,Entire condo,Entire home/apt,6,1.0,2.0,5.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""High chair"", ""Dishes and silverware"", ""Portable air conditioning"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""City skyline view"", ""Bathtub"", ""Indoor fireplace"", ""Electric stove"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Ceiling fan"", ""Hangers"", ""Patio or balcony"", ""EV charger - level 1"", ""Ue Bluetooth sound system"", ""Iron"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Smart lock"", ""Books and reading material"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Crib - always at the listing"", ""Elevator"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Coffee"", ""40 inch HDTV with Roku, Amazon Prime Video, Netflix"", ""Housekeeping available 24 hours, every day - available at extra cost"", ""Blender"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Ginger Lilly  conditioner"", ""Board games"", ""Heating"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Children\u2019s books and toys"", ""Extra pillows and blankets""]",$315.00,3,1125,15,346,39690.0,4.83,4.91,4.82,4.82,4.9,4.91,4.74,2.09
18,303277,Hip Condo Private Deck East Lake Union - Long Term,within an hour,100%,11.0,Cascade,47.64424,-122.32397,Entire condo,Entire home/apt,2,1.0,2.0,2.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Fast wifi \u2013 434 Mbps"", ""Freezer"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Bathtub"", ""Outdoor dining area"", ""Kitchen"", ""Hammock"", ""Hangers"", ""Stove"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Body soap"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""BBQ grill"", ""Shower gel"", ""Free dryer \u2013 In unit"", ""Lake view"", ""Shampoo"", ""Single level home"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Indoor fireplace: wood-burning"", ""50 inch HDTV with Roku"", ""Blender"", ""Private patio or balcony"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Clothing storage: closet"", ""Paid parking on premises"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Rice maker"", ""Extra pillows and blankets""]",$169.00,30,730,0,14,20280.0,4.86,4.86,4.93,4.86,4.86,5.0,4.71,0.08
19,338091,"spacious, great location w view",,0%,5.0,Capitol Hill,47.61965,-122.32374,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Portable air conditioning"", ""Room-darkening shades"", ""City skyline view"", ""Kirkland conditioner"", ""Bathtub"", ""Indoor fireplace"", ""Kitchen"", ""Wifi"", ""Dove body soap"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""HDTV with Amazon Prime Video, Hulu, Netflix, Roku, DVD player"", ""Cleaning products"", ""Washer"", ""Iron"", ""Barbecue utensils"", ""Dining table"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Safe"", ""Ethernet connection"", ""Smart lock"", ""BBQ grill"", ""Shower gel"", ""Shampoo"", ""Elevator"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Clothing storage: dresser"", ""Laundromat nearby"", ""Amazon  Bluetooth sound system"", ""Smoke alarm"", ""Bed linens"", ""Paid parking off premises"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee"", ""Drying rack for clothing"", ""Blender"", ""Dishwasher"", ""Cooking basics"", ""Refrigerator"", ""Backyard"", ""Oven"", ""Paid parking on premises"", ""Breakfast"", ""Heating"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Rice maker"", ""Extra pillows and blankets""]",$200.00,30,360,23,117,0.0,4.63,4.75,4.26,4.74,4.85,4.88,4.39,0.71
