Animal's Name,License Issue Date,License Number,Primary Breed,Secondary Breed,Species,ZIP Code
Ozzy,2005-03-29T00:00:00.000,130651,"Dachshund, Standard Smooth Haired",,Dog,98104
Jack,2009-12-23T00:00:00.000,898148,"Schnauzer, Miniature","Terrier, Rat",Dog,98107
Ginger,2006-01-20T00:00:00.000,29654,"Retriever, Golden","Retriever, Labrador",Dog,98117
Pepper,2006-02-07T00:00:00.000,75432,Manx,Mix,Cat,98103
Addy,2006-08-04T00:00:00.000,729899,"Retriever, Golden",,Dog,98105
Rustie,2007-07-24T00:00:00.000,437433,"Dachshund, Standard Smooth Haired",,Dog,98108
Lady,2006-12-06T00:00:00.000,959078,Doberman Pinscher,,Dog,98104
Emily,2007-11-19T00:00:00.000,895915,Domestic Medium Hair,,Cat,98103
Pancho,2007-12-04T00:00:00.000,957798,"Chihuahua, Short Coat",,Dog,
Sampson,2008-01-31T00:00:00.000,26600,Shepherd,Siberian Husky,Dog,98106
Buddy,2008-03-20T00:00:00.000,135598,"Retriever, Labrador",Mix,Dog,98133
Hitler,2008-03-25T00:00:00.000,29617,"Terrier, American Pit Bull",,Dog,98108
Oscar,2008-03-31T00:00:00.000,135493,"Dachshund, Miniature Smooth Haired",,Dog,98104
Liame,2008-04-17T00:00:00.000,209891,"Retriever, Labrador",,Dog,98126
Hunter,2008-08-02T00:00:00.000,352920,Devon Rex,,Cat,98125
Finigan,2008-12-01T00:00:00.000,957147,"Spaniel, Irish Water",,Dog,98107
Emily,2008-11-12T00:00:00.000,900555,"Terrier, Boston",,Dog,98107
Holly,2009-01-28T00:00:00.000,25208,"Retriever, Labrador",,Dog,98103
Romeo,2008-03-28T00:00:00.000,137471,"Terrier, Yorkshire",,Dog,98136
Franklin Tucker,2009-07-16T00:00:00.000,438986,Pug,,Dog,98106
Shelby,2009-12-22T00:00:00.000,960651,"Retriever, Labrador",Shepherd,Dog,98115
Calvin,2010-01-11T00:00:00.000,24477,Terrier,Mix,Dog,98125
Zoey,2010-02-19T00:00:00.000,80391,"Chihuahua, Short Coat",Pomeranian,Dog,98126
Nugget,2010-03-18T00:00:00.000,132643,"Retriever, Golden",,Dog,98104
Big Guy,2010-06-05T00:00:00.000,355942,"Chihuahua, Short Coat",,Dog,98146
Akaiya,2010-06-15T00:00:00.000,355953,"Terrier, American Staffordshire",,Dog,98036
Petey,2010-10-14T00:00:00.000,728265,"Terrier, American Pit Bull",Mix,Dog,98109
Kane,2010-04-22T00:00:00.000,281115,"Retriever, Labrador",,Dog,98136
Tyson,2007-12-27T00:00:00.000,956693,"Terrier, American Pit Bull",,Dog,98117
Shelby,2010-03-05T00:00:00.000,141134,"Retriever, Labrador",Mix,Dog,98133
Buttercup,2011-02-04T00:00:00.000,81017,"Retriever, Labrador",,Dog,98119
Jenkey,2011-03-29T00:00:00.000,141222,Australian Cattle Dog,Mix,Dog,98106
Skyler,2011-03-28T00:00:00.000,134722,LaPerm,,Cat,98118
Velvet,2011-04-29T00:00:00.000,213304,Akita,Newfoundland,Dog,98106
Mulan,2011-05-04T00:00:00.000,280072,Australian Shepherd,,Dog,98133
Mac,2011-06-13T00:00:00.000,351567,"Terrier, Boston",,Dog,98104
Wafer,2011-07-29T00:00:00.000,441081,"Retriever, Labrador",,Dog,98119
Zest,2011-07-29T00:00:00.000,441080,German Shepherd,,Dog,98119
Rambo,2011-12-29T00:00:00.000,357802,"Terrier, American Pit Bull",,Dog,98166
Vegas,2011-09-28T00:00:00.000,723819,Cane Corso,Mix,Dog,98104
Charlie,2012-02-01T00:00:00.000,81714,Boxer,"Terrier, American Pit Bull",Dog,98121
Puck,2012-05-19T00:00:00.000,281269,"Spaniel, American Cocker","Poodle, Miniature",Dog,98106
Mister Kitty,2012-02-10T00:00:00.000,81952,LaPerm,,Cat,98126
Pete,2012-09-28T00:00:00.000,722638,Australian Cattle Dog,,Dog,98125
Spencer,2012-12-29T00:00:00.000,25863,"Retriever, Golden","Poodle, Standard",Dog,98107
Diana,2012-10-20T00:00:00.000,831391,"Terrier, American Pit Bull",,Dog,98109
Cooper,2012-08-30T00:00:00.000,584062,"Chihuahua, Short Coat",,Dog,98105
Midnight,2012-10-15T00:00:00.000,820181,"Chihuahua, Short Coat",,Dog,98118
Fancy,2012-12-01T00:00:00.000,893696,Maltese,,Dog,98122
Blackie,2012-10-15T00:00:00.000,820182,"Retriever, Labrador",Mix,Dog,98118
Jake,2012-11-25T00:00:00.000,899061,"Retriever, Labrador",,Dog, 
Blue,2012-12-07T00:00:00.000,900322,Domestic Shorthair,,Cat,98105
Grey Fox,2012-08-31T00:00:00.000,578859,Siamese,Mix,Cat,98125
Sally,2013-04-12T00:00:00.000,14923,"Terrier, Rat",,Dog,98103
Wyle,2013-06-26T00:00:00.000,338793,Whippet,,Dog,98126
Scout,2013-04-05T00:00:00.000,214090,"Dachshund, Standard Smooth Haired",,Dog,98164
Zuma,2013-04-17T00:00:00.000,204619,Domestic Shorthair,,Cat,98199
Jack,2013-05-17T00:00:00.000,276549,Domestic Medium Hair,,Cat,98118
Milo,2013-06-10T00:00:00.000,,Domestic Shorthair,Mix,Cat,98103
Suki,2013-06-04T00:00:00.000,203616,Domestic Shorthair,,Cat,98107
Dotti,2013-04-12T00:00:00.000,209553,"Terrier, Rat",,Dog,98103
Growler,2013-06-04T00:00:00.000,900332,Beagle,"Terrier, Boston",Dog,98126
Lakein,2013-01-14T00:00:00.000,957380,"Retriever, Labrador",,Dog,98177
Tessa Love,2013-02-26T00:00:00.000,82415,Border Collie,Australian Shepherd,Dog,
Sebastian,2013-05-29T00:00:00.000,21906,Domestic Longhair,,Cat,98144
Romeo,2013-05-29T00:00:00.000,,"Retriever, Golden",,Dog,98144
Coos,2013-06-11T00:00:00.000,281593,Australian Shepherd,"Retriever, Labrador",Dog,98107
Opal,2013-06-28T00:00:00.000,214298,Boxer,,Dog,98118
Harley,2013-06-08T00:00:00.000,26606,"Spaniel, American Cocker",,Dog,98136
Walter,2013-02-11T00:00:00.000,82528,"Dachshund, Miniature Smooth Haired",,Dog,98117
Lilly,2013-03-05T00:00:00.000,82476,"Chihuahua, Short Coat",Miniature Pinscher,Dog,98115
Johnny Depp,2013-03-02T00:00:00.000,133999,Domestic Longhair,,Cat,98109
,2013-02-23T00:00:00.000,83111,Pomeranian,,Dog,98103
Meijo,2013-03-07T00:00:00.000,132661,"Terrier, American Pit Bull",,Dog,98107
Jasmine,2013-03-22T00:00:00.000,140148,Domestic Shorthair,,Cat,98118
Shelby Food,2013-04-26T00:00:00.000,214153,"Terrier, American Pit Bull",Mix,Dog,98125
Molly,2013-04-27T00:00:00.000,441225,Australian Cattle Dog,,Dog,98125
Karma,2013-06-06T00:00:00.000,132533,"Terrier, American Pit Bull",,Dog,98118
