,X,Y,PRIMARYDISTRICTCD,COMMON_NAME,TREEHEIGHT,DIAM,GENUS,HERITAGE,EXCEPTIONAL
0,-122.337739370168,47.6265920295122,DISTRICT3,Laceleaf Maple,6.0,7,Acer,Y,N
1,-122.399420393147,47.6592693026232,DISTRICT7,Coast Redwood,99.0,52,Sequoia,Y,N
2,-122.31450752834,47.6256510910634,DISTRICT3,Sweetgum,0.0,30,Liquidambar,Y,N
3,-122.338972565026,47.6642468094192,DISTRICT4,European Chestnut,36.0,55,Castanea,Y,Y
4,-122.314534344482,47.6256491706043,DISTRICT3,"Tupelo, Sour Gum",0.0,28,Nyssa,Y,N
5,-122.380763349496,47.6745048612825,DISTRICT6,Silver (Silverleaf) Maple,65.0,44,Acer,Y,N
6,-122.374175738821,47.685163901364,DISTRICT6,Black Locust,47.0,46,Robinia,Y,N
7,-122.308776597008,47.5719790403501,DISTRICT2,"Ginkgo, Maidenhair Tree",60.0,28,Ginkgo,Y,N
8,-122.314508042146,47.6256839595552,DISTRICT3,Sweetgum,0.0,28,Liquidambar,Y,N
9,-122.314535926131,47.6256839682007,DISTRICT3,Sweetgum,0.0,28,Liquidambar,Y,N
10,-122.343306916943,47.6629127479617,DISTRICT4,London Plane (Tree),0.0,64,Platanus,Y,N
11,-122.339311319752,47.6568855160928,DISTRICT4,Yoshino Cherry,0.0,34,Prunus,Y,N
12,-122.284200733038,47.611902365634,DISTRICT3,Giant Sequoia,148.0,100,Sequoiadendron,Y,N
13,-122.302187996464,47.6031365771793,DISTRICT3,Japanese Umbrella Pine,0.0,36,Sciadopitys,Y,N
14,-122.366698784452,47.6898456472097,DISTRICT6,Western Red Cedar,80.0,35,Thuja,Y,N
15,-122.275573041256,47.654404180778,DISTRICT4,"Lawson Cypress, Port Orford Cedar",80.0,35,Chamaecyparis,Y,N
16,-122.345612471915,47.7143304363987,DISTRICT5,American (White) Elm,84.0,36,Ulmus,Y,N
17,-122.29003799453,47.6651121703827,DISTRICT4,(Pacific) Madrona,58.0,50,Arbutus,Y,N
18,-122.303081413075,47.6386984142131,DISTRICT3,London Plane (Tree),73.0,59,Platanus,Y,N
19,-122.263295722231,47.5080325497172,DISTRICT2,Giant Sequoia,136.0,93,Sequoiadendron,Y,N
20,-122.308198578645,47.5734134227645,DISTRICT2,Western White Pine,85.0,44,Pinus,Y,N
